TIME [ps]	E_TOT [kJ/mol]	E_POT [kJ/mol]	TEMP. [K]	PRES. [kJ/mol/nm^3]
0.393000	-654.650567	-667.117453	8.001210	5.002386	
0.394000	-654.650566	-667.110084	7.996482	5.000654	
0.395000	-654.650566	-667.102184	7.991412	4.998823	
0.396000	-654.650565	-667.093759	7.986005	4.996896	
0.397000	-654.650565	-667.084817	7.980266	4.994877	
0.398000	-654.650565	-667.075366	7.974201	4.992770	
0.399000	-654.650564	-667.065414	7.967814	4.990576	
0.400000	-654.650564	-667.054969	7.961110	4.988301	
0.401000	-654.650563	-667.044039	7.954096	4.985947	
0.402000	-654.650563	-667.032633	7.946776	4.983518	
0.403000	-654.650562	-667.020759	7.939156	4.981016	
0.404000	-654.650562	-667.008426	7.931241	4.978447	
0.405000	-654.650561	-666.995644	7.923038	4.975811	
0.406000	-654.650561	-666.982421	7.914551	4.973113	
0.407000	-654.650560	-666.968766	7.905788	4.970354	
0.408000	-654.650560	-666.954689	7.896754	4.967538	
0.409000	-654.650559	-666.940199	7.887455	4.964667	
0.410000	-654.650558	-666.925307	7.877897	4.961742	
0.411000	-654.650558	-666.910020	7.868087	4.958767	
0.412000	-654.650557	-666.894351	7.858030	4.955743	
0.413000	-654.650557	-666.878308	7.847734	4.952672	
0.414000	-654.650556	-666.861901	7.837205	4.949555	
0.415000	-654.650556	-666.845141	7.826449	4.946396	
0.416000	-654.650555	-666.828038	7.815472	4.943194	
0.417000	-654.650554	-666.810602	7.804282	4.939952	
0.418000	-654.650554	-666.792844	7.792886	4.936671	
0.419000	-654.650553	-666.774774	7.781289	4.933351	
0.420000	-654.650552	-666.756403	7.769499	4.929995	
0.421000	-654.650552	-666.737741	7.757522	4.926601	
0.422000	-654.650551	-666.718800	7.745366	4.923171	
0.423000	-654.650551	-666.699590	7.733038	4.919705	
0.424000	-654.650550	-666.680122	7.720544	4.916203	
0.425000	-654.650549	-666.660407	7.707891	4.912665	
0.426000	-654.650549	-666.640455	7.695086	4.909090	
0.427000	-654.650548	-666.620279	7.682138	4.905477	
0.428000	-654.650547	-666.599888	7.669051	4.901828	
0.429000	-654.650547	-666.579294	7.655835	4.898140	
0.430000	-654.650546	-666.558508	7.642495	4.894413	
0.431000	-654.650545	-666.537541	7.629039	4.890647	
0.432000	-654.650545	-666.516404	7.615473	4.886841	
0.433000	-654.650544	-666.495109	7.601807	4.882995	
0.434000	-654.650544	-666.473666	7.588045	4.879108	
0.435000	-654.650543	-666.452086	7.574196	4.875181	
0.436000	-654.650542	-666.430381	7.560266	4.871212	
0.437000	-654.650542	-666.408562	7.546263	4.867202	
0.438000	-654.650541	-666.386640	7.532193	4.863151	
0.439000	-654.650540	-666.364625	7.518065	4.859058	
0.440000	-654.650540	-666.342529	7.503884	4.854925	
0.441000	-654.650539	-666.320363	7.489658	4.850751	
0.442000	-654.650538	-666.298137	7.475394	4.846537	
0.443000	-654.650538	-666.275863	7.461100	4.842283	
0.444000	-654.650537	-666.253552	7.446780	4.837989	
0.445000	-654.650536	-666.231214	7.432444	4.833657	
0.446000	-654.650536	-666.208859	7.418098	4.829288	
0.447000	-654.650535	-666.186499	7.403747	4.824881	
0.448000	-654.650535	-666.164144	7.389400	4.820438	
0.449000	-654.650534	-666.141805	7.375063	4.815960	
0.450000	-654.650533	-666.119491	7.360743	4.811448	
0.451000	-654.650533	-666.097214	7.346446	4.806903	
0.452000	-654.650532	-666.074983	7.332179	4.802327	
0.453000	-654.650532	-666.052809	7.317947	4.797720	
0.454000	-654.650531	-666.030701	7.303759	4.793084	
0.455000	-654.650531	-666.008669	7.289620	4.788420	
0.456000	-654.650530	-665.986724	7.275536	4.783731	
0.457000	-654.650529	-665.964875	7.261513	4.779016	
0.458000	-654.650529	-665.943131	7.247558	4.774279	
0.459000	-654.650528	-665.921502	7.233677	4.769520	
0.460000	-654.650528	-665.899997	7.219876	4.764741	
0.461000	-654.650527	-665.878625	7.206160	4.759945	
0.462000	-654.650527	-665.857395	7.192535	4.755132	
0.463000	-654.650526	-665.836317	7.179007	4.750305	
0.464000	-654.650526	-665.815398	7.165582	4.745466	
0.465000	-654.650525	-665.794648	7.152265	4.740617	
0.466000	-654.650525	-665.774074	7.139061	4.735759	
0.467000	-654.650524	-665.753685	7.125976	4.730896	
0.468000	-654.650524	-665.733489	7.113014	4.726029	
0.469000	-654.650523	-665.713494	7.100182	4.721160	
0.470000	-654.650523	-665.693708	7.087483	4.716291	
0.471000	-654.650523	-665.674138	7.074924	4.711426	
0.472000	-654.650522	-665.654791	7.062507	4.706566	
0.473000	-654.650522	-665.635675	7.050239	4.701713	
0.474000	-654.650521	-665.616797	7.038123	4.696871	
0.475000	-654.650521	-665.598163	7.026164	4.692041	
0.476000	-654.650521	-665.579781	7.014367	4.687227	
0.477000	-654.650520	-665.561656	7.002734	4.682430	
0.478000	-654.650520	-665.543794	6.991271	4.677652	
0.479000	-654.650520	-665.526203	6.979981	4.672898	
0.480000	-654.650519	-665.508887	6.968868	4.668168	
0.481000	-654.650519	-665.491853	6.957936	4.663466	
0.482000	-654.650519	-665.475105	6.947187	4.658793	
0.483000	-654.650518	-665.458649	6.936626	4.654153	
0.484000	-654.650518	-665.442490	6.926255	4.649547	
0.485000	-654.650518	-665.426633	6.916078	4.644978	
0.486000	-654.650518	-665.411082	6.906098	4.640448	
0.487000	-654.650517	-665.395841	6.896317	4.635958	
0.488000	-654.650517	-665.380916	6.886738	4.631512	
